Customer Name,Customer Site,town__city,County,Postcode,Country,Connection Status,accepted_to_connect_registered_capacity__mw_,already_connected_registered_capacity__mw_,maximum_export_capacity__mw_,maximum_import_capacity__mw_,Date Connected,Date Accepted
BIRSAY ENERGY LIMITED,HOLODYKE,ORKNEY,PERTH AND KINROSS,KW17 2HZ,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.855,0.855,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
TIREE RENEWABLE ENERGY COMPANY LIMITED,IMPORT FROM GRID,ISLE OF TIREE,PERTH AND KINROSS,PA77 6TR,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.9025,0.9025,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
COOP PPA SITES,NEWSTEAD WINDFARM,ABERDEEN,PERTH AND KINROSS,AB53 5YY,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.85025,0.85025,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
ARDVORLICH ESTATE LIMITED,STATION,LOCHEARNHEAD,PERTH AND KINROSS,FK19 8QE,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.7657,0.7657,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
GARVAULT HYDRO LIMITED,GENERATING STATION,LAIRG,PERTH AND KINROSS,IV27 4NZ,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.855,0.855,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
MERKLAND AND REAY FOREST HYDRO LIMITED,GENERATING STATION,LAIRG,PERTH AND KINROSS,IV27 4NY,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.665,0.665,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
ABERSANDA LIMITED,ABERNETHY TRUST,FORT WILLIAM,PERTH AND KINROSS,PH33 7AD,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.09025,0.09025,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
SOUTH CHESTHILL HYDRO LIMITED,INVERINAIN HYDRO GEN STATION,PERTH,PERTH AND KINROSS,PH15 2PP,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.8075,0.8075,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
MILLBURN PARTNERSHIP,MILLBURN HYDRO SCHEME,ROGART,PERTH AND KINROSS,IV28 3XG,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.0532,0.0532,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
MULL CHEESE HYDRO GENERATOR,MULL CHEESE HYDRO GENERATOR,ISLE OF MULL,PERTH AND KINROSS,PA75 6QD,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.2356,0.2356,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
ABERDEEN AND NORTHERN EGGS LTD,WEST COCKMUIR WINDFARM,FRASERBURGH,PERTH AND KINROSS,AB43 6RQ,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.76,0.76,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
HEBRIDEAN ENERGY LIMITED,HEBRIDEAN ENERGY FOOD PROCESSING PLANT,ISLE OF SOUTH UIST,PERTH AND KINROSS,HS8 5SA,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.3135,0.3135,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
DAVID REES T/A CASTLES ESTATE,CASTLES ESTATE HYDRO,DALMALLY,PERTH AND KINROSS,PA33 1BP,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.9994,0.9994,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
GIGHA GREEN POWER LIMITED,GIGHA II WIND TURBINE,ISLE OF GIGHA,PERTH AND KINROSS,PA41 7AA,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.25175,0.25175,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
GLENFINNAN HYDRO LIMITED,RIVER FINNAN HYDRO GENERATOR,FORT WILLIAM,PERTH AND KINROSS,PH37 4LT,SCOTLAND,CONNECTED,DATA NOT AVAILABLE,0.76,0.76,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE
